name,country,position,image,playerpage
Mehdi Mostefa,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_80191_3614_2012_1.jpg?lm=1,https://www.transfermarkt.jp/mehdi-mostefa/profil/spieler/80191
Laurent Agouazi,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_33950_1162_2012_2.jpg?lm=1,https://www.transfermarkt.jp/laurent-agouazi/profil/spieler/33950
Hamza Koudri,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/175004-1493923988.png?lm=1,https://www.transfermarkt.jp/hamza-koudri/profil/spieler/175004
Hocine El Orfi,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/hocine-el-orfi/profil/spieler/162428
Saphir Taïder,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/144779-1583613481.jpg?lm=1,https://www.transfermarkt.jp/saphir-taider/profil/spieler/144779
Adlène Guédioura,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/74768-1541149217.JPG?lm=1,https://www.transfermarkt.jp/adlene-guedioura/profil/spieler/74768
Hassan Yebda,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/12351-1475756787.jpg?lm=1,https://www.transfermarkt.jp/hassan-yebda/profil/spieler/12351
Nabil Bentaleb,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/245537-1531813105.jpg?lm=1,https://www.transfermarkt.jp/nabil-bentaleb/profil/spieler/245537
Foued Kadir,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/57403-1447256881.jpg?lm=1,https://www.transfermarkt.jp/foued-kadir/profil/spieler/57403
Yacine Brahimi,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/60517-1542106587.png?lm=1,https://www.transfermarkt.jp/yacine-brahimi/profil/spieler/60517
Sofiane Feghouli,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/57162-1622801567.jpg?lm=1,https://www.transfermarkt.jp/sofiane-feghouli/profil/spieler/57162
El Arbi Hillel Soudani,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/174842-1541149776.JPG?lm=1,https://www.transfermarkt.jp/el-arbi-hillel-soudani/profil/spieler/174842
Riyad Mahrez,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/171424-1461578220.jpg?lm=1,https://www.transfermarkt.jp/riyad-mahrez/profil/spieler/171424
Abdelmoumene Djabou,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/abdelmoumene-djabou/profil/spieler/83989
Zinedine Ferhat,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/232895-1669801210.png?lm=1,https://www.transfermarkt.jp/zinedine-ferhat/profil/spieler/232895
Ishak Belfodil,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/111039-1532692921.jpg?lm=1,https://www.transfermarkt.jp/ishak-belfodil/profil/spieler/111039
Nabil Ghilas,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/193515-1447315109.jpg?lm=1,https://www.transfermarkt.jp/nabil-ghilas/profil/spieler/193515
Rafik Djebbour,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/s_20903_3614_2012_1.jpg?lm=1,https://www.transfermarkt.jp/rafik-djebbour/profil/spieler/20903
Islam Slimani,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/174915-1445432455.jpg?lm=1,https://www.transfermarkt.jp/islam-slimani/profil/spieler/174915
Mohamed Amine Aoudia,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/162436-1406717055.jpg?lm=1,https://www.transfermarkt.jp/mohamed-amine-aoudia/profil/spieler/162436
Martín Silva,ウルグアイ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/76398-1523614352.jpg?lm=1,https://www.transfermarkt.jp/martin-silva/profil/spieler/76398
Rodrigo Muñoz,ウルグアイ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_76615_9875_2012_1.jpg?lm=1,https://www.transfermarkt.jp/rodrigo-munoz/profil/spieler/76615
Juan Castillo,ウルグアイ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/juan-castillo/profil/spieler/59255
Diego Godín,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54928-1547721268.jpg?lm=1,https://www.transfermarkt.jp/diego-godin/profil/spieler/54928
Martín Cáceres,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54935-1666428123.jpg?lm=1,https://www.transfermarkt.jp/martin-caceres/profil/spieler/54935
Sebastián Coates,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/102427-1666100911.jpg?lm=1,https://www.transfermarkt.jp/sebastian-coates/profil/spieler/102427
José María Giménez,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/250845-1664970029.jpg?lm=1,https://www.transfermarkt.jp/jose-maria-gimenez/profil/spieler/250845
Diego Lugano,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_13829_1084_2013_06_24_1.jpg?lm=1,https://www.transfermarkt.jp/diego-lugano/profil/spieler/13829
Andrés Scotti,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_15876_866_2013_06_10_1.jpg?lm=1,https://www.transfermarkt.jp/andres-scotti/profil/spieler/15876
Álvaro Pereira,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_54859_46_2013_09_09_1.jpg?lm=1,https://www.transfermarkt.jp/alvaro-pereira/profil/spieler/54859
Maximiliano Pereira,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/57834-1542105435.png?lm=1,https://www.transfermarkt.jp/maximiliano-pereira/profil/spieler/57834
Jorge Fucile,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/44057-1523614610.jpg?lm=1,https://www.transfermarkt.jp/jorge-fucile/profil/spieler/44057
Walter Gargano,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/52266-1581878477.jpg?lm=1,https://www.transfermarkt.jp/walter-gargano/profil/spieler/52266
Egidio Arévalo Ríos,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_54818_458_2013_04_04_1.jpg?lm=1,https://www.transfermarkt.jp/egidio-arevalo-rios/profil/spieler/54818
Diego Pérez,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_20378_1025_2013_09_23_1.jpg?lm=1,https://www.transfermarkt.jp/diego-perez/profil/spieler/20378
Sebastián Eguren,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_35590_1023_2012_1.jpg?lm=1,https://www.transfermarkt.jp/sebastian-eguren/profil/spieler/35590
Álvaro González,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/55957-1463040928.jpg?lm=1,https://www.transfermarkt.jp/alvaro-gonzalez/profil/spieler/55957
